tree_sample_id	genome_record_id	tree_role	selection_reason	background_replicate	country_iso3	country_name	continent	date_lower	date_upper	date_resolution	year	month	project_id	preliminary_lineage_id	lineage_definition_status	sample_id	biosample_accession	assembly_accession	run_accession	sequence_acquisition	local_fasta_path	fastq_r1	fastq_r2	sequence_input_path	total_sequence_length	gc_percent	n_contigs	contig_n50	catalog_qc_status	uniform_qc_status	tree_include	data_freeze_date	fastq_ftp	fastq_bytes	library_layout	read_count	base_count	study_accession	sample_accession	collection_date	country	fastq_ftp_list	fastq_bytes_list	fastq_total_bytes	source_resolution_status	status	r1_path	r2_path	paired_records	qc_input_type	observed_length	observed_gc_percent	observed_n_fraction	observed_contigs	observed_n50	read_q30_min	uniform_qc_reason	tree_include_after_uniform_qc
AUS__SAMN45810603	AUS::SAMN45810603	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810603		SRR31744002	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/002/SRR31744002/SRR31744002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/002/SRR31744002/SRR31744002_2.fastq.gz	9727649;10030220	PAIRED	134677	37619974	PRJNA1199062	SAMN45810603	2024-09	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/002/SRR31744002/SRR31744002_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/002/SRR31744002/SRR31744002_2.fastq.gz	9727649;10030220	19757869	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.880441		True
AUS__SAMN45810604	AUS::SAMN45810604	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810604		SRR31744001	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/001/SRR31744001/SRR31744001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/001/SRR31744001/SRR31744001_2.fastq.gz	68783036;69572211	PAIRED	950681	262031655	PRJNA1199062	SAMN45810604	2024-09	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/001/SRR31744001/SRR31744001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/001/SRR31744001/SRR31744001_2.fastq.gz	68783036;69572211	138355247	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.858993		True
AUS__SAMN45810605	AUS::SAMN45810605	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-08-01	2024-08-31	month	2024	8	PRJNA1199062				SAMN45810605		SRR31744000	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/000/SRR31744000/SRR31744000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/000/SRR31744000/SRR31744000_2.fastq.gz	901075588;899548449	PAIRED	16054697	4613934508	PRJNA1199062	SAMN45810605	2024-08	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/000/SRR31744000/SRR31744000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/000/SRR31744000/SRR31744000_2.fastq.gz	901075588;899548449	1800624037	resolved_streamed_fastq_subset	PASS			100000	paired_reads						1.0		True
AUS__SAMN45810606	AUS::SAMN45810606	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810606		SRR31743999	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/099/SRR31743999/SRR31743999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/099/SRR31743999/SRR31743999_2.fastq.gz	16684901;18316955	PAIRED	241359	69209737	PRJNA1199062	SAMN45810606	2024-09	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/099/SRR31743999/SRR31743999_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/099/SRR31743999/SRR31743999_2.fastq.gz	16684901;18316955	35001856	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.838681		True
AUS__SAMN45810607	AUS::SAMN45810607	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810607		SRR31743998	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/098/SRR31743998/SRR31743998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/098/SRR31743998/SRR31743998_2.fastq.gz	29148766;31304726	PAIRED	426780	121130461	PRJNA1199062	SAMN45810607	2024-09	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/098/SRR31743998/SRR31743998_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/098/SRR31743998/SRR31743998_2.fastq.gz	29148766;31304726	60453492	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.84692		True
AUS__SAMN45810609	AUS::SAMN45810609	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810609		SRR31743996	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/096/SRR31743996/SRR31743996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/096/SRR31743996/SRR31743996_2.fastq.gz	19476259;20986618	PAIRED	281693	80502532	PRJNA1199062	SAMN45810609	2024-09	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/096/SRR31743996/SRR31743996_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/096/SRR31743996/SRR31743996_2.fastq.gz	19476259;20986618	40462877	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.852555		True
AUS__SAMN45810610	AUS::SAMN45810610	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810610		SRR31743994	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3853332	67.83062035661604	0.0	354	20942			True
AUS__SAMN45810611	AUS::SAMN45810611	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810611		SRR31743993	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3853145	67.80134150155263	0.0	363	20430			True
AUS__SAMN45810620	AUS::SAMN45810620	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810620		SRR31743983	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/083/SRR31743983/SRR31743983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/083/SRR31743983/SRR31743983_2.fastq.gz	53242597;57199609	PAIRED	780939	223386903	PRJNA1199062	SAMN45810620	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/083/SRR31743983/SRR31743983_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/083/SRR31743983/SRR31743983_2.fastq.gz	53242597;57199609	110442206	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.858175		True
AUS__SAMN45810621	AUS::SAMN45810621	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810621		SRR31743982	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/082/SRR31743982/SRR31743982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/082/SRR31743982/SRR31743982_2.fastq.gz	119907907;130074487	PAIRED	1760348	499542879	PRJNA1199062	SAMN45810621	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/082/SRR31743982/SRR31743982_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/082/SRR31743982/SRR31743982_2.fastq.gz	119907907;130074487	249982394	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.84709		True
AUS__SAMN45810623	AUS::SAMN45810623	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810623		SRR31743980	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/080/SRR31743980/SRR31743980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/080/SRR31743980/SRR31743980_2.fastq.gz	12564561;13663723	PAIRED	181454	52019854	PRJNA1199062	SAMN45810623	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/080/SRR31743980/SRR31743980_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/080/SRR31743980/SRR31743980_2.fastq.gz	12564561;13663723	26228284	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.858423		True
AUS__SAMN45810624	AUS::SAMN45810624	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810624		SRR31743979	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/079/SRR31743979/SRR31743979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/079/SRR31743979/SRR31743979_2.fastq.gz	82630121;82838476	PAIRED	1465452	415682913	PRJNA1199062	SAMN45810624	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/079/SRR31743979/SRR31743979_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/079/SRR31743979/SRR31743979_2.fastq.gz	82630121;82838476	165468597	resolved_streamed_fastq_subset	PASS			100000	paired_reads						1.0		True
AUS__SAMN45810627	AUS::SAMN45810627	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810627		SRR31743976	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/076/SRR31743976/SRR31743976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/076/SRR31743976/SRR31743976_2.fastq.gz	187668258;208054107	PAIRED	2703530	789196476	PRJNA1199062	SAMN45810627	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/076/SRR31743976/SRR31743976_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/076/SRR31743976/SRR31743976_2.fastq.gz	187668258;208054107	395722365	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.830569		True
AUS__SAMN45810630	AUS::SAMN45810630	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810630		SRR31743972	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/072/SRR31743972/SRR31743972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/072/SRR31743972/SRR31743972_2.fastq.gz	61693863;61855055	PAIRED	1083192	311070512	PRJNA1199062	SAMN45810630	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/072/SRR31743972/SRR31743972_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/072/SRR31743972/SRR31743972_2.fastq.gz	61693863;61855055	123548918	resolved_streamed_fastq_subset	PASS			100000	paired_reads						1.0		True
AUS__SAMN45810631	AUS::SAMN45810631	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810631		SRR31743971	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/071/SRR31743971/SRR31743971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/071/SRR31743971/SRR31743971_2.fastq.gz	75159476;81819002	PAIRED	1110753	314006635	PRJNA1199062	SAMN45810631	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/071/SRR31743971/SRR31743971_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/071/SRR31743971/SRR31743971_2.fastq.gz	75159476;81819002	156978478	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.851346		True
AUS__SAMN45810632	AUS::SAMN45810632	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810632		SRR31743970	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/070/SRR31743970/SRR31743970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/070/SRR31743970/SRR31743970_2.fastq.gz	11645918;12531270	PAIRED	171007	47340365	PRJNA1199062	SAMN45810632	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/070/SRR31743970/SRR31743970_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/070/SRR31743970/SRR31743970_2.fastq.gz	11645918;12531270	24177188	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.862036		True
AUS__SAMN45810633	AUS::SAMN45810633	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810633		SRR31743969	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3859283	67.81552428261934	0.0	373	20686			True
AUS__SAMN45810634	AUS::SAMN45810634	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810634		SRR31743968	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3863920	67.80707157498085	0.0	386	20700			True
AUS__SAMN45810636	AUS::SAMN45810636	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810636		SRR31743966	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/066/SRR31743966/SRR31743966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/066/SRR31743966/SRR31743966_2.fastq.gz	10155773;10913667	PAIRED	154446	40745534	PRJNA1199062	SAMN45810636	2024-10	Australia: Queensland	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/066/SRR31743966/SRR31743966_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/066/SRR31743966/SRR31743966_2.fastq.gz	10155773;10913667	21069440	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.867297		True
AUS__SAMN45810638	AUS::SAMN45810638	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810638		SRR31743964	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3857002	67.83074004109928	0.0	356	20455			True
AUS__SAMN45810640	AUS::SAMN45810640	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810640		SRR31743961	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3860302	67.80003222545801	0.0	363	22515			True
AUS__SAMN45810642	AUS::SAMN45810642	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810642		SRR31743959	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3853139	67.82392226182341	0.0	368	20872			True
AUS__SAMN45810643	AUS::SAMN45810643	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-09-01	2024-09-30	month	2024	9	PRJNA1199062				SAMN45810643		SRR31743958	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/058/SRR31743958/SRR31743958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/058/SRR31743958/SRR31743958_2.fastq.gz	24434875;26341853	PAIRED	353725	101449423	PRJNA1199062	SAMN45810643	2024-09	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/058/SRR31743958/SRR31743958_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/058/SRR31743958/SRR31743958_2.fastq.gz	24434875;26341853	50776728	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.850373		True
AUS__SAMN45810645	AUS::SAMN45810645	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810645		SRR31743956	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/056/SRR31743956/SRR31743956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/056/SRR31743956/SRR31743956_2.fastq.gz	82606545;91103548	PAIRED	1171809	343591084	PRJNA1199062	SAMN45810645	2024-10	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/056/SRR31743956/SRR31743956_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/056/SRR31743956/SRR31743956_2.fastq.gz	82606545;91103548	173710093	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.820413		True
AUS__SAMN45810646	AUS::SAMN45810646	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-10-01	2024-10-31	month	2024	10	PRJNA1199062				SAMN45810646		SRR31743955	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3913828	67.73493878627268	0.0	482	20675			True
AUS__SAMN45811366	AUS::SAMN45811366	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-07-01	2024-07-31	month	2024	7	PRJNA1199062				SAMN45811366		SRR31743879	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/079/SRR31743879/SRR31743879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/079/SRR31743879/SRR31743879_2.fastq.gz	95581257;100685052	PAIRED	1454399	414808881	PRJNA1199062	SAMN45811366	2024-07	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/079/SRR31743879/SRR31743879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/079/SRR31743879/SRR31743879_2.fastq.gz	95581257;100685052	196266309	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.924315		True
AUS__SAMN45811367	AUS::SAMN45811367	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-07-01	2024-07-31	month	2024	7	PRJNA1199062				SAMN45811367		SRR31743880	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/080/SRR31743880/SRR31743880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/080/SRR31743880/SRR31743880_2.fastq.gz	130753435;137656685	PAIRED	1955908	566429846	PRJNA1199062	SAMN45811367	2024-07	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/080/SRR31743880/SRR31743880_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/080/SRR31743880/SRR31743880_2.fastq.gz	130753435;137656685	268410120	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.921008		True
AUS__SAMN45811368	AUS::SAMN45811368	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-06-01	2024-06-30	month	2024	6	PRJNA1199062				SAMN45811368		SRR31743881	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/081/SRR31743881/SRR31743881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/081/SRR31743881/SRR31743881_2.fastq.gz	170847196;179978294	PAIRED	2566819	741121853	PRJNA1199062	SAMN45811368	2024-06	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/081/SRR31743881/SRR31743881_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/081/SRR31743881/SRR31743881_2.fastq.gz	170847196;179978294	350825490	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.922874		True
AUS__SAMN45811369	AUS::SAMN45811369	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-07-01	2024-07-31	month	2024	7	PRJNA1199062				SAMN45811369		SRR31743869	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/069/SRR31743869/SRR31743869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/069/SRR31743869/SRR31743869_2.fastq.gz	75602468;77026005	PAIRED	1121045	329474323	PRJNA1199062	SAMN45811369	2024-07	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/069/SRR31743869/SRR31743869_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/069/SRR31743869/SRR31743869_2.fastq.gz	75602468;77026005	152628473	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.936459		True
AUS__SAMN45811370	AUS::SAMN45811370	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-01-01	2024-12-31	year	2024		PRJNA1199062				SAMN45811370		SRR31743862	legacy_read_assembly										FAIL_ASSEMBLY_QC	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3823613	67.7835073790156	0.0	709	9887		contigs	False
AUS__SAMN45811371	AUS::SAMN45811371	focal	modern_country_time_project_lineage_cap8		AUS	Australia	Oceania	2024-06-01	2024-06-30	month	2024	6	PRJNA1199062				SAMN45811371		SRR31743884	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/084/SRR31743884/SRR31743884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/084/SRR31743884/SRR31743884_2.fastq.gz	102636991;107628382	PAIRED	1537820	443715593	PRJNA1199062	SAMN45811371	2024-06	Australia: New South Wales	ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/084/SRR31743884/SRR31743884_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR317/084/SRR31743884/SRR31743884_2.fastq.gz	102636991;107628382	210265373	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.925941		True
BEL__SAMEA117989203	BEL::SAMEA117989203	focal	historical_stratified_anchor_cap3_cell_cap90_country		BEL	Belgium	Europe	2014-01-30	2014-01-30	day	2014	1	PRJEB88325	ptxP3/fim3-1	pending_new_phylogeny	SAMEA117989203	SAMEA117989203		ERR14837599	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/099/ERR14837599/ERR14837599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/099/ERR14837599/ERR14837599_2.fastq.gz	252707914;271856113	PAIRED	2783510	698661010	PRJEB88325	SAMEA117989203	2014-01-30	Belgium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/099/ERR14837599/ERR14837599_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/099/ERR14837599/ERR14837599_2.fastq.gz	252707914;271856113	524564027	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.819965		True
BEL__SAMEA117989205	BEL::SAMEA117989205	focal	historical_stratified_anchor_cap3_cell_cap90_country		BEL	Belgium	Europe	2014-06-27	2014-06-27	day	2014	6	PRJEB88325		pending_new_phylogeny	SAMEA117989205	SAMEA117989205		ERR14837601	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3882030	67.75385558586616	0.0	345	23051			True
BEL__SAMEA117989208	BEL::SAMEA117989208	focal	historical_stratified_anchor_cap3_cell_cap90_country		BEL	Belgium	Europe	2014-07-30	2014-07-30	day	2014	7	PRJEB88325	ptxP3/fim3-1	pending_new_phylogeny	SAMEA117989208	SAMEA117989208		ERR14837604	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/004/ERR14837604/ERR14837604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/004/ERR14837604/ERR14837604_2.fastq.gz	314282626;338799337	PAIRED	3472756	871661756	PRJEB88325	SAMEA117989208	2014-07-30	Belgium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/004/ERR14837604/ERR14837604_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/004/ERR14837604/ERR14837604_2.fastq.gz	314282626;338799337	653081963	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.814772		True
BEL__SAMEA117989209	BEL::SAMEA117989209	focal	historical_stratified_anchor_cap3_cell_cap90_country		BEL	Belgium	Europe	2014-08-01	2014-08-01	day	2014	8	PRJEB88325	United States Sublineage 1	pending_new_phylogeny	SAMEA117989209	SAMEA117989209		ERR14837605	ena_fastq_download				;						PASS	True	2026-07-24	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14837605/ERR14837605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14837605/ERR14837605_2.fastq.gz	335380297;363289129	PAIRED	3730468	936347468	PRJEB88325	SAMEA117989209	2014-08-01	Belgium	ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14837605/ERR14837605_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR148/005/ERR14837605/ERR14837605_2.fastq.gz	335380297;363289129	698669426	resolved_streamed_fastq_subset	PASS			100000	paired_reads						0.816247		True
BEL__SAMEA117989211	BEL::SAMEA117989211	focal	historical_stratified_anchor_cap3_cell_cap90_country		BEL	Belgium	Europe	2014-09-04	2014-09-04	day	2014	9	PRJEB88325	ptxP3/fim3-1	pending_new_phylogeny	SAMEA117989211	SAMEA117989211		ERR14837607	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3880567	67.77643576312431	0.0	361	23051			True
BEL__SAMEA117989214	BEL::SAMEA117989214	focal	historical_stratified_anchor_cap3_cell_cap90_country		BEL	Belgium	Europe	2014-12-20	2014-12-20	day	2014	12	PRJEB88325	ptxP3/fim3-2	pending_new_phylogeny	SAMEA117989214	SAMEA117989214		ERR14837610	legacy_read_assembly										PASS	True	2026-07-24												0	resolved_legacy_read_assembly					assembly	3877693	67.77991450070957	0.0	341	22586			True
