tree_sample_id	level 1	level 2	tree_role	country_iso3	date_lower	date_upper	date_resolution	year	month	epidemic_period	project_id	preliminary_lineage_id	model_lineage_id	model_sublineage_id	lineage_definition_method	lineage_definition_seed	lineage_definition_n_pops
CHN__SAMN17613197	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA695405	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN17613198	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA695405	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN22233915	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA770762	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN22233924	2	5	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA770762	ptxP3/fim3-2	L1_02	L1_02.05	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN32033974	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA908268		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN32033981	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA908268		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN33268552	2	7	focal	CHN	2018-04-01	2018-04-30	month	2018	4	prepandemic	PRJNA934178	ptxP3	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN39682971	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1071282	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN39683227	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1071282	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151934	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151935	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151936	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151937	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151938	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151939	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151940	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151941	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151942	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151943	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151944	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151945	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151946	1	4	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151947	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151948	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151949	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151950	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151951	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151952	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151953	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151954	1	3	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151955	2	7	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151956	2	7	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151957	2	6	focal	CHN	2018-01-01	2018-12-31	year	2018		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN22233918	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA770762	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN22233923	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA770762	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN32033992	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA908268		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN32033997	2	7	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA908268		L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN39683481	2	7	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1071282	ptxP3/fim3-1	L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN39683486	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1071282	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373914	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373915	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373916	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373917	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373918	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373919	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373920	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373921	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373922	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373923	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373924	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373925	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373927	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373928	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373929	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373930	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373931	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373932	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373933	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373934	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373935	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373936	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373937	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373938	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373939	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373940	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373941	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373942	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373943	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373944	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373945	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373946	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373947	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373948	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373949	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373950	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373951	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373952	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373953	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373954	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373955	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373956	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373957	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373958	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP3/fim3-1	L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373959	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373960	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373961	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373962	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373963	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373964	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373965	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373966	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373967	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373968	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373969	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373970	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373971	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373972	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373973	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373974	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN41373975	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1110622	ptxP1/fim3-1	L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151958	2	7	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151959	1	4	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_01	L1_01.04	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151960	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151961	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151962	2	7	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151963	2	7	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151964	2	7	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151965	2	7	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.07	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151966	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151967	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151968	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151969	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151970	2	6	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_02	L1_02.06	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
CHN__SAMN50151971	1	3	focal	CHN	2019-01-01	2019-12-31	year	2019		prepandemic	PRJNA1295129		L1_01	L1_01.03	hierBAPS_v1.1.4_parsimony_informative_core_SNPs_pre_effect_freeze	20260731	15
